generated_z_um/experiment_z_um,-50,-40,-30,-20,-10,0,10,20,30,40,50
-50,0.93036728,0.91490804,0.90394031,0.89258814,0.90025299,0.91939084,0.90730232,0.89751267,0.91705557,0.92777003,0.93170309
-40,0.93313214,0.91304548,0.90428680,0.89624209,0.89779358,0.91638026,0.90545544,0.89152517,0.91013590,0.92070082,0.92056223
-30,0.93600741,0.92119844,0.90070541,0.89549156,0.89415109,0.90854396,0.90206824,0.88487557,0.89800151,0.89550982,0.89998533
-20,0.90320224,0.91736731,0.93014366,0.89503246,0.87639832,0.89885113,0.89668487,0.85980395,0.84973254,0.86825348,0.87803029
-10,0.86618442,0.85079238,0.85103999,0.88872362,0.90157291,0.85825996,0.84502856,0.84057246,0.87495300,0.87740911,0.88094947
0,0.91058029,0.89544177,0.88727109,0.88603059,0.89822755,0.90963785,0.90132313,0.89562988,0.90958952,0.91626704,0.91743924
10,0.88687289,0.87421179,0.89992380,0.90265955,0.85094802,0.89261500,0.92105946,0.84507112,0.87548023,0.88809465,0.88136189
20,0.92743086,0.92012967,0.88190375,0.84675837,0.87440833,0.91247885,0.91767702,0.91721772,0.91535512,0.91021671,0.90789364
30,0.92730628,0.90132717,0.89247043,0.88646129,0.89384611,0.91805361,0.91081962,0.89923468,0.92896598,0.93949897,0.93171080
40,0.92513256,0.91228389,0.90861287,0.89345942,0.89808135,0.92112199,0.91084295,0.89710611,0.91711120,0.93252391,0.93660071
50,0.92987890,0.91839555,0.91003707,0.89446119,0.90085889,0.92227796,0.91091861,0.89854186,0.91605510,0.92795837,0.93315042
